song,duration_min
Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,2.5
Hey Daddy (Daddy's Home),3.73
Hey Driver (feat. The War and Treaty),3.7899999999999996
Hey Jane,4.01
Hide My Gun (Feat. HARDY),3.67
High Road,3.3300000000000005
High Road (feat. Jessie Murph),2.99
Hits Different,3.91
Holly Jolly Christmas,2.0
Holy Roller (feat. Sierra Ferrell),3.6
Home,2.62
Houdini,3.6675999999999997
How Did It End?,3.9799999999999995
How Do You Like Me Now?!,3.48
How You Get The Girl (Taylor's Version),4.13
Huntin’ Wabbitz,2.7
I Ain't Worried,2.47
I Can Do It With a Broken Heart,3.6300000000000003
I Can Fix Him (No Really I Can),2.6
I Can See You (Taylor’s Version) (From The Vault),4.55
I Gotta,2.8800000000000003
I Had Some Help (Feat. Morgan Wallen),2.97
I Hate It Here,4.06
I Hope You Find Your Way Home,4.5
I KNOW ?,3.53
I Killed You,2.81
I Know Places (Taylor's Version),3.26
I LUV IT (feat. Playboi Carti),2.91
I Look in People's Windows,2.2
I Love This Bar,5.59
"I Love You, I'm Sorry",2.62
I Remember Everything (feat. Kacey Musgraves),3.79
I Saw Mommy Kissing Santa Claus,3.02
I Want a Hippopotamus for Christmas (Hippo the Hero),2.59
I Wish You Would (Taylor's Version),3.46
I might say something stupid featuring the 1975 & jon hopkins,4.18
"I swear, I Really Wanted To Make A ""Rap"" Album But This Is Literally The Way The Wind Blew Me This Time",12.33
I'm Shipping Up To Boston,2.56
IDGAF (feat. Yeat),4.34
II HANDS II HEAVEN,5.69
II MOST WANTED,3.48
Ice Attack,3.32
Igual Que Un Ángel (with Peso Pluma),4.34
In Your Love,3.7600000000000002
Innocent (Taylor's Version),5.02
Is It Over Now? (Taylor's Version) (From The Vault),3.8199999999999994
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),2.6
It's Beginning to Look a Lot like Christmas,3.45
It's Five O'Clock Somewhere,3.835
It's Getting Hot,2.24
It's Up (feat. Young Thug & 21 Savage),4.63
It's ok I'm ok,2.61
It's the Most Wonderful Time of the Year,2.520714285714286
I’m Just Ken (From Barbie The Album),3.71
JOLENE,3.16
JUST FOR FUN,3.41
Jake's Piano - Long Island,5.32
Jennifer’s Body,2.64
Jimmy Cooks (feat. 21 Savage),3.64
Jingle Bell Rock,2.18
Jingle Bells - Remastered 1999,2.01
Joy To The World,1.42
Judge Judy,4.49
Juno,3.7200000000000006
Just Wanna Rock,2.06
K-POP,3.09
KEHLANI,2.04
KEYS TO MY LIFE,2.9
KING,2.61
Karma,3.4099999999999997
Karma (feat. Ice Spice),3.36
Kill Bill,2.57
Knee Deep (feat. Jimmy Buffett),3.39
LA DURANGO,4.38
LA PATRULLA,2.18
LA PEOPLE II,2.35
LADY GAGA,3.55
LALA,3.3
LEVII'S JEANS,4.29
LIL DEMON,2.32
LOOOVE,3.78
LOOOVE (feat. Kid Cudi),3.78
LOS PITS,4.18
LOST FOREVER,2.72
LOST FOREVER (feat. Westside Gunn),2.72
LUNA,2.73
LUNCH,2.99
La Bebe - Remix,3.91
La Diabla,2.87
La Víctima,2.61
Lace It (with Eminem & benny blanco),3.63
Last Christmas - Single Version,4.43
Last Kiss (Taylor's Version),6.15
Last Night,2.73
Last Time I Saw You,3.61
Lavender Haze,3.3699999999999997
Let It Snow! Let It Snow! Let It Snow!,1.9499999999999997
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),2.59
Let Me Calm Down (feat. J. Cole),4.07
Lie To Girls,3.37
Lies Lies Lies,3.2999999999999994
Light Year (Practice),2.74
Like Crazy,3.54
Like Him (feat. Lola Young),4.630000000000001
Like That,4.46
Lil Boo Thang,1.9
Lithonia,2.9828571428571427
Little Saint Nick - 1991 Remix,1.9800000000000002
Lonely Road (with Jelly Roll),3.16
Long Live (Taylor's Version),5.3
Lose Control,3.51
Losers (Feat. Jelly Roll),3.48
Love Somebody,3.41
Love in This Club (feat. Young Jeezy),4.33
Lover,3.69
Lovers Rock,3.57
Lovin On Me,2.31
Lucifer,4.36
Lucky Enough (Poem),2.7
Lyft Em Up,2.74
L’AMOUR DE MA VIE,5.569999999999999
M-E-X-I-C-O (Feat. Billy Strings),2.6
MATHEMATICAL DISRESPECT,1.47
MELTDOWN,4.1
MELTDOWN (feat. Drake),4.1
MERCEDES CAROTA,3.38
MI EX TENÍA RAZÓN,2.57
MILLION DOLLAR BABY,2.59
MILLION DOLLAR BABY (VHS),2.59
MODERN JAM,4.26
MODERN JAM (feat. Teezo Touchdown),4.26
MOJABI GHOST,3.87
MONACO,4.45
MR. OCTOBER,3.15
MY EYES,4.19
MY HOUSE,4.38
MY ROSE,0.89
Ma Meilleure Ennemie (from the series Arcane League of Legends),2.47
Magic Don Juan (Princess Diana),3.68
Magnetic,2.68
"Mama, I’m Sorry",3.52
Mamaw's House,3.12
Mamushi (feat. Yuki Chiba),2.62
Margaritaville,4.18
Mean (Taylor's Version),3.98
Mechanical Bull,3.48
Mele Kalikimaka (Merry Christmas),2.92
Members Only (feat. PARTYNEXTDOOR),4.63
Memphis; The Blues (feat. John Moreland),3.16
Meteor Man,3.79
Mine (Taylor's Version),3.86
Missin’ You Like This (Feat. Luke Combs),3.7099999999999995
Mistletoe,3.05
Mistletoe And Holly - Remastered 1999,2.27
Mmhmm,1.98
Money On The Dresser,2.22
Money Trees,6.449999999999999
Monster Mash,3.2
Moonlight,3.13
Mourning,2.46
Mr Chow,2.95
Mr. Brightside,3.72
Murder On The Dancefloor,3.83
My Boo,3.72
My Boy Only Breaks His Favorite Toys,3.4
My Love Mine All Mine,2.3
NADIE SABE,6.32
NEL,2.48
NEW DROP,3.62
NIGHTS LIKE THIS,1.45
NO ME QUIERO CASAR,3.76
Nakamura,3.3
Needle (feat. Drake),3.93
Neva Play (feat. RM of BTS),2.62
Never Grow Up (Taylor's Version),4.88
Never Lose Me,2.1
Never Love You Again (Feat. Sierra Ferrell),3.11
New Jeans,1.82
New Romantics,3.84
New Romantics (Taylor's Version),3.8400000000000003
New Year’s Day,3.92
Night Changes,3.78
Nine Ball,2.83
No Complaints,3.42
No Face,2.29
No One Noticed,3.95
No One Noticed (Extended English),4.74
No Pole,3.13
No Role Modelz,4.88
Noid,4.749615384615385
Nonsense,2.73
Northern Attitude (with Hozier),4.45
Nosedive (Feat. Lainey Wilson),3.21
Not Allowed,2.8
Not An Option,2.51
Not Like Us,4.57
Novacandy,3.29
Now And Then,4.14
Now That We Don't Talk (Taylor's Version) (From The Vault),2.44
OCEAN,3.38
OH LOUISIANA,0.87
ONE CALL,2.02
Oak Island,3.9900000000000007
Of Course (Bonus Track),3.48
Oh U Went (feat. Drake),3.09
Oklahoman Son,4.16
On The Radar Freestyle,4.59
"One Of The Girls (with JENNIE, Lily Rose Depp)",4.08
One Of Your Girls,3.02
One Thing At A Time,3.45
Or What,3.32
Ours (Taylor’s Version),3.93
Out Of My Hands,4.05
Out Of The Woods,3.93
Out Of The Woods (Taylor's Version),3.93
Overcompensate,3.93
Overdrive,2.46
Overtime,3.18
PAID,3.25
PAPERWORK,2.43
PARASAIL,2.58
PARASAIL (feat. Yung Lean & Dave Chappelle),2.58
PERRO NEGRO,2.71
PLUTOSKI,2.98
PRC,3.0700000000000003
PRESS THE BUTTON,2.84
PROBLEMATIC,3.25
PROMOTION,2.65
PROTECTOR,3.07
Paars In The Mars,3.0
Paint The Town Red,3.84497461928934
Parade on Cleveland (feat. Drake),3.8
Parking Lot,2.9199999999999995
Party In The U.S.A.,3.37
Patience (feat. Don Toliver),4.37
Paul Revere,3.56
Pelle Coat,4.23
"Peso Pluma: Bzrp Music Sessions, Vol. 55",3.14
Peter,4.7299999999999995
Pi (feat. Daylyt & Ab-Soul),5.91
Pink + White,3.08
Pink Pony Club,4.3
Pink Skies,3.25
Please Come Home for Christmas - 2013 Remaster,2.9599999999999995
Please Please Please,3.1099999999999994
Pluto to Mars,4.11
Polar Opposites,4.29
Popular,4.03
Popular (with Playboi Carti & Madonna),3.59
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),3.5900000000000003
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,3.59
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),3.59
Por las Noches,4.0
Pour Me A Drink (Feat. Blake Shelton),3.25
Praise Jah In The Moonlight,4.38
"Pricey (feat. Ari Lennox, Young Dro & Gucci Mane)",4.92
Princess Diana (with Nicki Minaj),2.87
Psycho Killer - 2005 Remaster,4.36
Purple Gas,3.0
Push Ups,3.88
QLONA,2.88
Que Onda,3.19
Qué Pasaría...,3.18
READY TO COOK UP,2.79
RELOJ,3.87
RIIVERDANCE,4.2
ROSA PASTEL,3.4
Rah Tah Tah,2.76
Ready ‘24 (feat. Cam’ron),3.5
Red Button,2.67
Red Leather,6.91
Red Wine Supernova,3.21
Rehab,4.08
Religiously,2.98
Renaissance,1.64
Rich Baby Daddy (feat. Sexyy Red & SZA),5.32
Rich Flex,3.99
Rich Girl,2.38
Rich Men North of Richmond,3.1200000000000006
Road Rage,3.63
Robin,4.01
Rockin' Around The Christmas Tree,2.1
Romantic Homicide,2.21
Rompe La Dompe,2.76
Rudolph The Red-Nosed Reindeer,2.17
Run Rudolph Run,2.76
Runnin Outta Time,3.42
Rush,2.61
S91,2.88
SABOR FRESA,2.61
SAY MY GRACE (feat. Travis Scott),2.89
SEDA,3.17
SIRENS,3.41
SKI,2.46
SKINNY,3.66
SKITZO,6.11
SKITZO (feat. Young Thug),6.11
SLIDE,3.2999999999999994
SLUT ME OUT,2.06
SMOKE HOUR ★ WILLIE NELSON,0.85
SPAGHETTII,2.64
STARS,1.92
SWEET ★ HONEY ★ BUCKIIN',4.94
Sailor Song,3.53
Santa Baby (with Henri René & His Orchestra),3.43
"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",4.46
Santa Claus Is Coming To Town,2.4
Santa Tell Me,3.4
Santa Tell Me - Naughty Version,3.39
"Santa, Can’t You Hear Me",4.04
Sarah's Place (feat. Noah Kahan),3.57
Saturn,3.1
Saturn Returns Interlude,0.7
Say Don't Go (Taylor's Version) (From The Vault),4.66
Say Yes To Heaven,3.49
Scared To Start,2.66
Screw The World - Interlude,1.87
Search & Rescue,4.54
See You Again (feat. Kali Uchis),3.01
Seen it All,2.99
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),3.16
Selfish,3.82
September,3.6
Seven (feat. Latto) (Explicit Ver.),3.0693258426966286
Shake It Off,3.65
Shake It Off (Taylor's Version),3.65
Sharpest Tool,3.64
She Calls Me Back (with Kacey Musgraves),4.07
She Stank,2.1
Should've Been A Cowboy,3.5200000000000005
Shut up My Moms Calling,2.74
Si Antes Te Hubiera Conocido,3.26
Si No Quieres No,2.45
Sign Me Up,3.32
Single Soon,2.86
Skin and Bones,3.58
Sleigh Ride,3.02
Slim Pickins,2.54
Slime You Out (feat. SZA),5.17
Slimed In,3.25
Slow It Down,2.7000000000000006
Smaller Acts,3.12
Smeraldo Garden Marching Band (feat. Loco),3.05
Snooze,3.36
Snooze (Acoustic) (feat. Justin Bieber),3.17
Snow On The Beach (feat. More Lana Del Rey),3.83
Snowman,2.76
So High School,3.81
"So Long, London",4.38
Somebody Save Me,3.84
Somebody's Watching Me - Single Version,3.98
Something Real,3.42
Something in the Orange,3.8
Sparks Fly (Taylor’s Version),4.35
Speak Now (Taylor's Version),4.04
Speed Drive (From Barbie The Album),1.96
Spin Again,1.63
Spin You Around (1/24),3.4900000000000007
"Spooky, Scary Skeletons - Undead Tombstone Remix",2.09
Spotless (feat. The Lumineers),2.82
St. Chroma (feat. Daniel Caesar),3.28
Stand By Me (feat. Morgan Wallen),3.65
Standing Next to You,3.43
Stargazing,2.88
Stealth Mode (feat. Bas),2.25
Stick Season,3.04
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",4.27
Stickz N Stonez,3.35
Stories About My Brother,4.4
Story of My Life,4.09
Strangers,2.88
Style,3.85
Style (Taylor's Version),3.8499999999999996
Suburban Legends (Taylor's Version) (From The Vault),2.86
Suicide Doors,4.32
Summertime's Close,3.1
Sun to Me,2.72
Sunflower - Spider-Man: Into the Spider-Verse,2.63
Super Freak,3.42
Super Shy,2.58
Superhero (Heroes & Villains) [with Future & Chris Brown],3.04
Superman (Taylor’s Version),4.58
Sure Thing,3.26
Surround Sound (feat. 21 Savage & Baby Tate),3.83
Sweater Weather,4.01
Sweet Dreams,2.89
Sweet Home Alabama,4.73
Sympathy is a knife featuring ariana grande,2.57
TALKING,3.09
TEFLON DON,2.66
